"Symbol" "Name" "P" "V" "Hi" "Lo" "Date" "Time" "PP"
"CLJ13.NYM" "Crude Oil Apr 13" "$93.41 " "116,350" "$93.84 " "$93.00 " "15-Mar-13" "1:22pm" "$93.03 "
"CLK13.NYM" "Crude Oil May 13" "$93.78 " "75,752" "$94.20 " "$93.36 " "15-Mar-13" "1:22pm" "$93.38 "
"CLM13.NYM" "Crude Oil Jun 13" "$94.00 " "36,677" "$94.42 " "$93.59 " "15-Mar-13" "1:21pm" "$93.62 "
"CLN13.NYM" "Crude Oil Jul 13" "$94.18 " "19,448" "$94.52 " "$93.73 " "15-Mar-13" "1:22pm" "$93.75 "
"CLQ13.NYM" "Crude Oil Aug 13" "$94.13 " "13,909" "$94.37 " "$93.73 " "15-Mar-13" "1:22pm" "$93.70 "
"CLU13.NYM" "Crude Oil Sep 13" "$93.88 " "11,247" "$94.09 " "$93.50 " "15-Mar-13" "1:21pm" "$93.49 "
"CLV13.NYM" "Crude Oil Oct 13" "$93.67 " "5,199" "$93.79 " "$93.16 " "15-Mar-13" "1:08pm" "$93.16 "
"CLX13.NYM" "Crude Oil Nov 13" "$93.06 " "2,593" "$93.34 " "$92.85 " "15-Mar-13" "12:43pm" "$92.78 "
"CLZ13.NYM" "Crude Oil Dec 13" "$92.77 " "26,255" "$93.08 " "$92.34 " "15-Mar-13" "1:20pm" "$92.39 "
"CLF14.NYM" "Crude Oil Jan 14" "$92.40 " "4,118" "$92.42 " "$92.40 " "15-Mar-13" "12:39pm" "$91.99 "
"CLG14.NYM" "Crude Oil Feb 14" "$91.95 " "1,229" "$91.95 " "$91.95 " "15-Mar-13" "11:20am" "$91.62 "
"CLH14.NYM" "Crude Oil Mar 14" "$91.67 " "2,407" "$91.80 " "$91.67 " "15-Mar-13" "12:00pm" "$91.28 "
"CLJ14.NYM" "Crude Oil Apr 14" "$91.11 " "474" "$96.45 " "$96.45 " "15-Mar-13" "10:54am" "$90.97 "
"CLM14.NYM" "Crude Oil Jun 14" "$90.95 " "4,250" "$90.95 " "$90.43 " "15-Mar-13" "11:50am" "$90.46 "
"CLZ14.NYM" "Crude Oil Dec 14" "$89.43 " "8,184" "$89.58 " "$89.00 " "15-Mar-13" "12:45pm" "$89.12 "
"CLM15.NYM" "Crude Oil Jun 15" "$87.12 " "416" "$87.12 " "$87.12 " "15-Mar-13" "12:39pm" "$87.66 "
"CLZ15.NYM" "Crude Oil Dec 15" "$87.25 " "3,456" "$87.25 " "$86.70 " "15-Mar-13" "1:08pm" "$86.72 "
"CLZ16.NYM" "Crude Oil Dec 16" "$85.80 " "1,003" "$85.80 " "$85.35 " "15-Mar-13" "12:06pm" "$85.28 "
"CLZ17.NYM" "Crude Oil Dec 17" "$84.85 " "468" "$84.85 " "$84.50 " "15-Mar-13" "12:39pm" "$84.47 "
"CLZ18.NYM" "Crude Oil Dec 18" "$84.67 " "98" "$84.67 " "$84.10 " "15-Mar-13" "12:39pm" "$84.03 "
"CLZ19.NYM" "Crude Oil Dec 19" "$83.85 " "0" "N/A" "N/A" "15-Mar-13" "12:39pm" "$83.75 "
"HOJ13.NYM" "Heating Oil Apr 1" "$2.94 " "13,548" "$2.97 " "$2.93 " "15-Mar-13" "1:22pm" "$2.93 "
"HOJ13.NYM" "Heating Oil Apr 1" "$2.94 " "13,548" "$2.97 " "$2.93 " "15-Mar-13" "1:22pm" "$2.93 "
"HOK13.NYM" "Heating Oil May 1" "$3.03 " "15,058" "$3.05 " "$3.02 " "15-Mar-13" "1:22pm" "$3.01 "
"HOM13.NYM" "Heating Oil Jun 1" "$3.03 " "9,036" "$3.04 " "$3.01 " "15-Mar-13" "1:22pm" "$3.01 "
"HON13.NYM" "Heating Oil Jul 1" "$3.02 " "4,816" "$3.04 " "$3.01 " "15-Mar-13" "1:18pm" "$3.00 "
"HOQ13.NYM" "Heating Oil Aug 1" "$3.02 " "2,499" "$3.03 " "$3.02 " "15-Mar-13" "12:55pm" "$3.00 "
"HOU13.NYM" "Heating Oil Sep 1" "$3.01 " "2,943" "$3.03 " "$3.00 " "15-Mar-13" "12:46pm" "$3.00 "
"HOV13.NYM" "Heating Oil Oct 1" "$3.01 " "1,576" "$3.02 " "$3.01 " "15-Mar-13" "12:11pm" "$2.99 "
"HOX13.NYM" "Heating Oil Nov 1" "$3.00 " "808" "$3.01 " "$3.00 " "15-Mar-13" "12:08pm" "$2.98 "
